"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"S114","mental1","Human","Mental",6,6,3,5,NA,25
"S114","mental2","AI","Mental",7,6,6,4,"Everyday / Trivial",-53
"S114","romantic1","AI","Romantic",5,5,3,4,NA,36
"S114","romantic2","Human","Romantic",5,4,4,4,NA,23
"S114","trivial1","Human","Trivial",1,3,2,1,"Romantic",14
"S114","trivial2","AI","Trivial",5,3,5,3,NA,18
"S061","mental1","Human","Mental",6,7,3,7,NA,77
"S061","mental2","AI","Mental",2,3,1,1,"Romantic",-65
"S061","romantic1","Human","Romantic",4,4,3,2,NA,64
"S061","romantic2","AI","Romantic",1,4,1,1,NA,-60
"S061","trivial1","AI","Trivial",2,2,1,2,NA,-67
"S061","trivial2","Human","Trivial",4,2,1,2,"Everyday / Trivial",63
"S111","mental1","Human","Mental",5,1,5,1,NA,-93
"S111","mental2","AI","Mental",6,4,6,4,NA,-100
"S111","romantic1","Human","Romantic",1,1,3,1,NA,75
"S111","romantic2","AI","Romantic",6,7,5,6,NA,-100
"S111","trivial1","AI","Trivial",7,7,3,4,"Mental Health",-100
"S111","trivial2","Human","Trivial",6,5,4,5,"Romantic",-100
"S026","mental1","Human","Mental",3,6,3,6,NA,54
"S026","mental2","AI","Mental",5,6,3,6,NA,36
"S026","romantic1","Human","Romantic",3,6,2,2,NA,55
"S026","romantic2","AI","Romantic",4,3,3,6,"Romantic",-69
"S026","trivial1","AI","Trivial",5,3,6,6,"Everyday / Trivial",54
"S026","trivial2","Human","Trivial",5,6,4,5,NA,39
"S103","mental1","Human","Mental",3,3,1,1,NA,100
"S103","mental2","AI","Mental",4,4,4,4,NA,-100
"S103","romantic1","AI","Romantic",3,3,3,3,"Mental Health",-100
"S103","romantic2","Human","Romantic",6,5,1,1,NA,-20
"S103","trivial1","Human","Trivial",4,4,4,4,NA,100
"S103","trivial2","AI","Trivial",4,4,3,4,"Everyday / Trivial",-47
"S009","mental1","Human","Mental",2,1,4,3,NA,-100
"S009","mental2","AI","Mental",3,1,1,1,NA,-100
"S009","romantic1","Human","Romantic",1,1,1,1,NA,-37
"S009","romantic2","AI","Romantic",3,1,2,1,NA,63
"S009","trivial1","Human","Trivial",1,2,1,1,"I don't remember",-100
"S009","trivial2","AI","Trivial",3,1,4,6,"Romantic",-100
"S115","mental1","AI","Mental",5,5,4,3,NA,17
